#{"t_start": 1746146199.3406408, "env_id": "CartPole-v1"}
r,l,t
103.637993,114,8.382105
28.592732,31,8.412401
130.147238,150,8.548037
75.285427,87,8.627398
15.446793,18,8.801445
133.800686,157,8.94792
258.727723,293,9.217046
10.815317,12,9.227339
141.258963,161,9.376351
40.889016,45,9.420026
159.079629,188,9.600015
101.510378,109,9.700243
165.431555,185,9.872326
169.724433,188,10.049917
160.069322,190,10.226414
156.290154,186,10.398334
112.129184,124,10.512751
72.726515,78,10.588032
155.407913,166,10.73994
152.744214,174,10.903983
76.901294,85,10.988619
137.111802,153,11.134156
138.842576,161,11.284384
168.931239,192,11.464837
165.354748,190,11.640265
147.967178,172,11.801946
99.17009,108,11.898296
237.392248,273,12.146678
170.740642,201,12.336085
177.85338,201,12.526689
213.864663,246,12.757539
80.276355,88,12.83868
169.180221,199,13.023913
198.317963,229,13.231909
153.726771,185,13.396147
187.239669,217,13.726396
176.184947,206,13.905686
201.905267,233,14.136785
195.82913,228,14.355469
149.316401,178,14.516388
190.590138,222,14.733074
159.575271,189,14.981797
191.534662,214,15.194895
167.823558,198,15.377779
206.140387,238,15.608034
189.735635,222,15.811021
197.893866,223,16.01889
206.912118,240,16.244388
198.617332,229,16.448976
186.921692,218,16.651254
152.567408,175,16.810611
221.267523,254,17.044312
183.911143,215,17.249654
207.949216,240,17.485993
189.08002,221,17.70508
182.275193,215,17.929138
286.220458,322,18.267928
182.335806,214,18.663005
193.743594,226,18.890212
187.473092,219,19.117178
243.836057,278,19.378413
249.273429,284,19.649482
221.945983,256,19.888588
199.639761,232,20.105703
180.537501,212,20.312132
183.566244,215,20.512306
173.464244,204,20.704966
153.630443,184,20.885448
195.136258,227,21.108108
215.467752,247,21.352314
219.967748,252,21.602517
330.435855,368,21.969511
139.389714,161,22.125637
174.110136,205,22.325045
186.407498,218,22.533271
219.441418,252,22.774851
191.204288,223,22.995235
208.835183,240,23.224536
223.54767,255,23.664868
268.479132,302,23.955855
169.556444,193,24.147478
305.132408,340,24.480784
190.441197,221,24.704098
236.616788,268,24.955328
191.493409,222,25.157872
196.008346,227,25.377468
231.946021,263,25.635846
215.765723,247,25.877722
215.039559,247,26.125736
247.90324,280,26.39176
148.36211,171,26.561153
178.448528,209,26.754048
142.989879,165,26.908741
184.633256,215,27.11879
216.956421,249,27.356771
184.856745,215,27.571198
202.253532,232,27.801151
178.598697,209,28.009619
214.772031,241,28.251934
183.98717,210,28.455016
199.684462,230,28.842016
200.090499,231,29.068152
231.42709,263,29.330492
227.21619,259,29.586827
185.533151,216,29.803052
241.194575,273,30.078049
196.934467,228,30.309056
225.343202,257,30.55655
167.770161,194,30.739225
203.128434,230,30.956723
176.714056,208,31.145943
186.453937,218,31.346207
234.108567,266,31.606498
177.127613,204,31.809971
160.756224,190,32.00577
229.117215,260,32.267505
179.595641,210,32.47926
178.49615,208,32.689178
167.360752,194,32.877893
172.349636,204,33.065132
214.137465,245,33.298304
207.084294,239,33.532656
191.406345,223,33.888049
184.798824,216,34.099798
170.370855,197,34.302615
199.178138,226,34.541365
193.09273,224,34.779406
182.506807,213,35.002028
239.487081,272,35.288095
149.341193,176,35.473828
185.702877,213,35.69164
205.700968,237,35.927932
172.128896,203,36.128422
206.713629,238,36.367075
155.265346,183,36.560528
240.399311,274,36.848842
165.297345,196,37.054786
266.114817,300,37.372538
223.161316,255,37.623448
220.442291,253,37.883798
379.316229,418,38.289537
184.611484,215,38.501009
193.207964,224,38.71688
182.897205,214,39.079471
235.088419,268,39.336818
166.903645,196,39.52943
191.694334,224,39.74306
184.305896,215,39.948526
204.697695,237,40.176547
230.743595,263,40.433932
223.324142,256,40.679864
287.488744,322,40.992644
201.081716,233,41.217458
195.580721,228,41.441549
185.007715,216,41.64864
246.911047,280,41.919201
229.520357,262,42.171211
186.068457,217,42.384731
201.136937,233,42.611907
244.043342,279,42.872916
188.165485,219,43.082804
186.556179,218,43.294183
229.116579,262,43.544401
217.903888,250,43.950024
243.692947,276,44.216549
264.670437,299,44.508615
176.41005,207,44.707763
241.923657,276,44.973907
286.814675,317,45.277669
264.817993,299,45.56762
217.271852,250,45.805735
245.158671,276,46.073442
296.337012,333,46.395078
204.095855,237,46.62612
291.963028,326,46.941084
251.213282,285,47.216004
324.339333,358,47.561174
255.063196,291,47.842547
225.535929,259,48.093312
249.39605,285,48.367588
291.007529,324,48.680593
207.714409,240,49.084531
215.434666,248,49.323918
245.706476,276,49.589767
228.341243,261,49.840333
290.487079,326,50.156804
255.194651,287,50.434183
227.017834,254,50.685228
243.13536,267,50.943645
282.827759,311,51.242432
230.831581,261,51.489566
256.48638,291,51.766932
209.670896,243,52.000582
216.934016,250,52.25372
217.005858,250,52.49707
215.969144,249,52.738153
244.176159,279,53.005549
240.989625,275,53.270548
350.307885,383,53.641557
382.836578,424,54.256424
219.385875,252,54.501145
194.37633,216,54.712868
241.88866,276,54.979962
252.71986,287,55.257739
228.569072,263,55.511697
215.900168,249,55.746117
204.070049,224,55.962842
278.774717,304,56.253059
388.939011,422,56.661682
241.89035,275,56.930742
268.909754,304,57.223954
191.581752,218,57.434699
206.032236,239,57.6666
236.407911,269,57.930665
208.585168,231,58.154628
247.00272,270,58.41483
283.401464,310,58.716253
233.382811,256,59.148232
242.746259,276,59.414735
249.002547,284,59.684654
302.516716,338,59.994183
240.068088,275,60.248597
243.639635,278,60.503089
269.955191,307,60.796806
241.931569,277,61.050359
254.867365,291,61.323499
265.502487,301,61.604769
285.593653,311,61.897926
231.711045,253,62.135298
268.807098,303,62.422916
330.197451,362,62.773535
310.22239,351,63.113442
444.610962,492,63.587121
226.26102,260,64.034958
303.529921,330,64.35667
366.930288,402,64.750168
321.647203,363,65.083616
330.352441,362,65.423996
304.337468,342,65.749027
454.689524,500,66.208387
469.074344,500,66.669553
236.544234,269,66.930097
469.292941,500,67.419109
470.640582,500,67.89619
468.382864,500,68.351947
469.03389,500,69.127597
468.291911,500,69.581289
470.837183,500,70.046383
468.666559,500,70.503825
468.654872,500,70.97517
469.210874,500,71.429849
469.653145,500,71.9063
471.81177,500,72.368285
471.549581,500,72.832372
469.34459,500,73.296123
468.387991,500,74.074131
471.454951,500,74.528833
280.070269,316,74.835108
471.537685,500,75.314226
473.722438,500,75.787964
471.501372,500,76.250109
473.078721,500,76.724417
471.119519,500,77.182736
473.596821,500,77.645206
473.737004,500,78.100504
473.619981,500,78.859282
471.168481,500,79.344333
472.753499,500,79.827112
469.907476,500,80.306091
470.07646,500,80.770618
471.504656,500,81.251135
467.897923,500,81.706019
472.839237,500,82.160296
471.608797,500,82.622059
470.423971,500,83.078477
473.196973,500,83.846944
471.728652,500,84.309355
469.04064,500,84.772955
475.571849,500,85.236106
473.530735,500,85.707186
473.609012,500,86.184007
474.906851,500,86.675284
474.216529,500,87.141618
472.183032,500,87.604203
473.051287,500,88.08146
474.45964,500,88.879969
475.214073,500,89.345591
475.526841,500,89.817985
474.714957,500,90.285927
472.194543,500,90.749387
472.343448,500,91.221916
470.26684,500,91.702299
473.306289,500,92.168483
469.338021,500,92.63659
472.912908,500,93.125271
471.467568,500,93.928649
472.437264,500,94.417154
470.497622,500,94.899986
463.520333,500,95.384889
460.086282,500,95.86153
462.686634,500,96.319032
456.420604,500,96.780788
458.533239,500,97.266974
457.502715,500,97.761384
450.616217,500,98.242043
454.598314,500,99.037989
450.35088,500,99.526912
446.748131,500,99.995722
446.014115,500,100.478054
444.094159,500,100.965806
442.125317,500,101.440302
441.608112,500,101.921741
441.591341,500,102.398137
441.879532,500,102.876495
437.839555,500,103.336827
435.929529,500,104.109529
436.028052,500,104.594763
433.279615,500,105.081431
431.116977,500,105.558453
428.726778,500,106.021816
424.049409,500,106.505719
413.233381,500,106.973753
413.762548,500,107.458487
408.630655,500,107.924091
408.1025,500,108.381402
392.844624,500,109.156646
12.8308,15,109.171393
14.964329,18,109.189189
12.777478,15,109.202692
12.521074,15,109.218522
19.893498,24,109.240413
15.186429,18,109.256781
16.878341,20,109.274609
15.207025,18,109.291563
16.178822,19,109.309978
261.131899,337,109.613065
13.488163,16,109.627604
13.709442,16,109.642745
11.800467,14,109.656448
14.285146,17,109.672261
11.807223,14,109.684961
13.772604,16,109.700111
15.347832,18,109.718228
13.506763,16,109.732925
14.553883,17,109.748969
14.401591,17,109.765193
11.884593,14,109.779182
11.672562,14,109.791875
13.80976,16,109.806313
15.34113,18,109.823291
13.551659,16,109.8393
14.508946,17,109.855144
12.561851,15,109.868826
12.665116,15,109.88301
14.631915,17,109.900081
15.416725,18,109.916692
13.714907,16,109.931298
12.539343,15,109.946979
14.666572,17,109.965097
14.529637,17,109.98155
14.686098,17,109.997968
11.84858,14,110.01239
14.523157,17,110.031136
12.817974,15,110.045889
8.660183,10,110.054872
13.853554,16,110.069821
17.338331,20,110.089002
13.841111,16,110.103366
12.689313,15,110.117203
11.836307,14,110.131582
10.866854,13,110.1444
14.651674,17,110.162688
11.87977,14,110.176138
10.964848,13,110.189494
12.082145,14,110.203144
13.744072,16,110.220001
12.940801,15,110.234776
13.753684,16,110.250757
12.910353,15,110.266679
15.432294,18,110.284173
13.832062,16,110.299691
13.877698,16,110.316152
13.688045,16,110.332958
10.882829,13,110.345655
12.782177,15,110.360034
15.311869,18,110.377571
12.933066,15,110.392598
13.920173,16,110.407613
11.793757,14,110.420294
15.310849,18,110.438666
11.840056,14,110.453192
13.112489,15,110.467154
14.629085,17,110.482821
11.133858,13,110.495087
11.897374,14,110.507965
12.136339,14,110.522059
15.614081,18,110.538892
13.838695,16,110.554574
11.025448,13,110.568667
10.165098,12,110.580538
13.753501,16,110.596575
12.951482,15,110.611745
10.19873,12,110.624872
13.050672,15,110.64164
12.324373,14,110.654344
12.131843,14,110.667513
13.791736,16,110.683216
13.690212,16,110.698028
13.941001,16,110.713009
12.83454,15,110.727626
13.84977,16,110.743519
13.79909,16,110.75974
10.065514,12,110.771571
13.557754,16,110.788676
11.974286,14,110.802797
14.496746,17,110.81856
13.62792,16,110.833187
11.954023,14,110.855121
13.729662,16,110.872051
12.811714,15,110.886935
10.141365,12,110.899889
13.768281,16,110.914872
10.942873,13,110.926853
11.992362,14,110.941222
10.911983,13,110.953105
11.76827,14,110.967703
13.806533,16,110.982381
